,cnt
Implementation,589
DynamicProgramming,514
"Implementation,String",464
Mathematics,307
"Implementation,Simulation",238
"Implementation,Mathematics,Arithmetic",209
"Implementation,Mathematics",189
"Mathematics,Arithmetic",170
Greedy,165
"Greedy,Sorting",155
"GraphTheory,GraphTraversal,Breadth_firstSearch",155
Bruteforcing,144
"Implementation,Bruteforcing",139
"Mathematics,NumberTheory",125
"GraphTheory,Dijkstra's",118
String,110
Geometry,96
"Mathematics,Geometry",88
"Mathematics,Bruteforcing",87
"GraphTheory,GraphTraversal,Breadth_firstSearch,Depth_firstSearch",85
"Mathematics,Combinatorics",84
Sorting,82
"Implementation,Sorting",78
"DynamicProgramming,Knapsack",64
"DataStructures,SegmentTree",60
"Bruteforcing,Backtracking",59
"Mathematics,DynamicProgramming,Combinatorics",58
"Mathematics,Greedy",54
GraphTheory,53
"Mathematics,NumberTheory,PrimalityTest,SieveOfEratosthenes",52
BinarySearch,52
Constructive,51
PrefixSum,50
"DynamicProgramming,Bitmask",48
"Mathematics,DynamicProgramming",48
"Mathematics,NumberTheory,EuclideanAlgorithm",47
Ad_hoc,42
"DataStructures,Stack",41
"GraphTheory,MinimumSpanningTree",40
"Implementation,String,Bruteforcing",40
"Mathematics,Bruteforcing,NumberTheory",39
"Implementation,Mathematics,String",39
"String,Bruteforcing",35
"Implementation,Greedy",32
"Bruteforcing,Geometry",32
"GraphTheory,GraphTraversal,Depth_firstSearch",31
"Implementation,Mathematics,Simulation",31
"BinarySearch,ParametricSearch",31
"Mathematics,ExponentiationBySquaring",31
"Implementation,Mathematics,Bruteforcing",30
"GraphTheory,GraphTraversal",30
Backtracking,30
"Implementation,Mathematics,String,Arithmetic",29
"DynamicProgramming,Tree,DynamicProgrammingOnTrees",29
"DataStructures,DisjointSet",29
"GraphTheory,Floyd_warshall",29
"DynamicProgramming,String",28
"Implementation,Bruteforcing,Simulation",28
"DynamicProgramming,PrefixSum",28
"DataStructures,Greedy,PriorityQueue",27
"Implementation,String,Simulation",27
"Implementation,GraphTheory,GraphTraversal,Breadth_firstSearch",27
"Mathematics,DynamicProgramming,ProbabilityTheory",26
"Mathematics,BinarySearch",25
Two_pointer,25
"DynamicProgramming,Greedy",25
"Mathematics,String",24
GameTheory,23
"GraphTheory,GraphTraversal,Depth_firstSearch,Tree",22
"DynamicProgramming,GameTheory",22
"Mathematics,PrefixSum",21
"Mathematics,Bruteforcing,Arithmetic",21
Tree,21
"Bruteforcing,Greedy",20
"Mathematics,NumberTheory,PrimalityTest",20
"DataStructures,PriorityQueue",20
"String,Sorting",20
"Implementation,Mathematics,Geometry",20
"String,Greedy",20
"Implementation,String,Sorting",19
"Implementation,Geometry",19
"Mathematics,Sorting",18
"Implementation,Bruteforcing,Backtracking",17
"DataStructures,Greedy,Sorting,PriorityQueue",17
"Greedy,Constructive",17
"DynamicProgramming,Bruteforcing",17
"Mathematics,Ad_hoc",17
"Mathematics,Constructive",17
"Bruteforcing,PrefixSum",17
"Implementation,DynamicProgramming",16
"Implementation,Ad_hoc",16
"Implementation,Mathematics,Simulation,Arithmetic",16
"Recursion,DivideAndConquer",16
"Implementation,GraphTheory,GraphTraversal,Breadth_firstSearch,Simulation",16
"Bruteforcing,Bitmask",16
"String,DataStructures,Stack",16
"Implementation,String,DataStructures,SetMapByHashing",16
"Constructive,Ad_hoc",15
"Mathematics,NumberTheory,Constructive",15
"Implementation,Sorting,Simulation",15
"GraphTheory,TopologicalSorting",15
"Mathematics,Greedy,Sorting",15
"GraphTheory,DynamicProgramming,GraphTraversal,Breadth_firstSearch",15
"BinarySearch,PrefixSum",14
"Implementation,DataStructures,Stack",14
"DynamicProgramming,Sorting",14
"Implementation,Constructive",14
"GraphTheory,Constructive",14
"GraphTheory,DynamicProgramming,Dijkstra's",13
"Greedy,Sorting,Two_pointer",13
"Implementation,Mathematics,Bruteforcing,Arithmetic",12
"GraphTheory,DynamicProgramming,GraphTraversal,Depth_firstSearch",12
"Mathematics,Bitmask",12
"GraphTheory,DynamicProgramming",12
"GraphTheory,DataStructures,GraphTraversal,DisjointSet",12
"Mathematics,String,Arithmetic",12
"Sorting,Two_pointer",12
"GraphTheory,DynamicProgramming,TopologicalSorting",12
"GraphTheory,Bruteforcing,GraphTraversal,Breadth_firstSearch",12
"Mathematics,Bruteforcing,Combinatorics",11
"Mathematics,Tree",11
"Implementation,DataStructures,Simulation,Queue",11
"Implementation,Backtracking",11
"String,DataStructures,SetMapByHashing",11
"Sorting,Geometry",11
"Mathematics,DynamicProgramming,NumberTheory",11
"GraphTheory,GraphTraversal,Breadth_firstSearch,Depth_firstSearch,Tree",11
"Bruteforcing,Sorting",11
"DataStructures,BinarySearch,SegmentTree",11
"String,Ad_hoc",11
"GraphTheory,GraphTraversal,Breadth_firstSearch,Dijkstra's",11
"Mathematics,NumberTheory,ExponentiationBySquaring",10
"GraphTheory,GraphTraversal,Breadth_firstSearch,Bitmask",10
"Sorting,Ad_hoc",10
"Implementation,PrefixSum",10
"Mathematics,Bruteforcing,NumberTheory,PrimalityTest,SieveOfEratosthenes",10
"Implementation,String,Greedy",10
"GraphTheory,DynamicProgramming,GraphTraversal,Depth_firstSearch,Tree,DynamicProgrammingOnTrees",10
"DataStructures,SetMapByHashing",10
"Mathematics,Recursion",10
"Mathematics,ProbabilityTheory",10
"Sorting,BinarySearch",10
"Mathematics,Bruteforcing,NumberTheory,EuclideanAlgorithm",9
"Mathematics,Constructive,Ad_hoc",9
"GraphTheory,Bruteforcing,GraphTraversal,Breadth_firstSearch,Depth_firstSearch",9
"Implementation,GraphTheory,GraphTraversal,Simulation",9
"Greedy,BinarySearch",9
"GraphTheory,GraphTraversal,Tree",9
"Implementation,GraphTheory,GraphTraversal,Breadth_firstSearch,Simulation,Depth_firstSearch",9
"Greedy,Ad_hoc",9
"Sorting,BinarySearch,Two_pointer",9
"Implementation,GraphTheory,GraphTraversal,Breadth_firstSearch,Depth_firstSearch",9
"Mathematics,GameTheory",9
"String,DataStructures,SetMapByHashing,SetMapByTrees",9
"Sorting,Constructive",9
"Mathematics,NumberTheory,Combinatorics",9
"Implementation,Recursion",8
"DataStructures,SegmentTree,ValueCoordinateCompression",8
"GraphTheory,DynamicProgramming,GraphTraversal",8
"Implementation,Mathematics,Sorting",8
DataStructures,8
"DynamicProgramming,Greedy,Sorting",8
LongestIncreasingSequenceInO(nLogN),8
"DataStructures,SetMapByTrees",8
"DynamicProgramming,BinarySearch",8
"Implementation,Greedy,Simulation",8
"String,DataStructures,Sorting,SetMapByHashing",8
"Mathematics,DynamicProgramming,ExponentiationBySquaring",8
"DataStructures,SetMapByHashing,SetMapByTrees",8
"Geometry,BinarySearch",7
Recursion,7
"DynamicProgramming,Backtracking",7
"Implementation,String,DataStructures,Stack",7
"GraphTheory,GraphTraversal,Breadth_firstSearch,BinarySearch",7
"Greedy,PrefixSum",7
"Implementation,GraphTheory,Dijkstra's",7
"BinarySearch,LongestIncreasingSequenceInO(nLogN)",7
"Implementation,Mathematics,NumberTheory",7
"DataStructures,Stack,SegmentTree,DivideAndConquer",6
"GraphTheory,DataStructures,GraphTraversal,Breadth_firstSearch,Depth_firstSearch,DisjointSet",6
"Implementation,GraphTheory,GraphTraversal",6
"DataStructures,Sorting,SetMapByTrees",6
"GraphTheory,GraphTraversal,Sorting,Depth_firstSearch",6
"Implementation,Mathematics,Greedy",6
"DataStructures,Deque",6
"Mathematics,Sorting,Geometry",6
"DataStructures,Greedy,Stack",6
"DataStructures,Tree",6
"Implementation,DataStructures,Simulation,Stack",6
"DynamicProgramming,Bruteforcing,PrefixSum",6
"Implementation,Bruteforcing,Sorting",6
"Mathematics,DynamicProgramming,PrefixSum",6
"Mathematics,Bruteforcing,ProbabilityTheory",6
"BinarySearch,Two_pointer",6
"Mathematics,Geometry,Constructive",6
"GraphTheory,Dijkstra's,0_1Bfs",6
"Implementation,Sorting,Ad_hoc",6
"Implementation,Mathematics,NumberTheory,PrimalityTest",6
"Implementation,DataStructures",6
"GraphTheory,GraphTraversal,Breadth_firstSearch,Floyd_warshall",6
Bitmask,6
"GraphTheory,DataStructures,GraphTraversal,Breadth_firstSearch,DisjointSet",6
"GraphTheory,Dijkstra's,Floyd_warshall",6
"Implementation,Bitmask",6
"String,Hashing",6
"Mathematics,Combinatorics,ProbabilityTheory",6
"Mathematics,Greedy,Arithmetic",6
"Implementation,DataStructures,Queue",6
"GraphTheory,GraphTraversal,Depth_firstSearch,Backtracking",6
"String,DataStructures,Sorting,SetMapByHashing,SetMapByTrees",6
"Implementation,Two_pointer",6
"Mathematics,NumberTheory,PrefixSum",5
"Implementation,DataStructures,SetMapByHashing",5
"DataStructures,Sorting,SetMapByHashing",5
"GraphTheory,GraphTraversal,Floyd_warshall",5
"Mathematics,Geometry,BinarySearch",5
"DynamicProgramming,LongestIncreasingSequenceInO(nLogN)",5
"Mathematics,BinarySearch,PrefixSum",5
"Mathematics,GraphTheory,ExponentiationBySquaring",5
"DataStructures,BinarySearch,SetMapByTrees",5
"Implementation,Mathematics,NumberTheory,EuclideanAlgorithm",5
"Greedy,BinarySearch,ParametricSearch",5
"GraphTheory,Geometry,Dijkstra's",5
"Mathematics,Combinatorics,ExponentiationBySquaring",5
"Mathematics,NumberTheory,Ad_hoc",5
"Implementation,Mathematics,PrefixSum",5
"PrefixSum,SlidingWindow",5
"Constructive,Tree",5
"Mathematics,Bruteforcing,NumberTheory,Constructive",5
"GraphTheory,GraphTraversal,Dijkstra's",5
"Implementation,BinarySearch",5
"Implementation,String,Bruteforcing,DataStructures,SetMapByHashing",5
"Mathematics,PrefixSum,Combinatorics",5
"GraphTheory,DataStructures,GraphTraversal,Depth_firstSearch,DisjointSet",5
"GraphTheory,Tree",5
"Implementation,Mathematics,String,Combinatorics",5
"Mathematics,DynamicProgramming,Greedy",5
"DynamicProgramming,DataStructures,SegmentTree",5
"Implementation,DataStructures,Simulation,PriorityQueue",5
Hashing,5
"Bruteforcing,Greedy,Sorting",5
"Implementation,Mathematics,Combinatorics",5
"GraphTheory,BinarySearch,Dijkstra's",5
"Implementation,Mathematics,GraphTheory,GraphTraversal,Breadth_firstSearch",5
"Geometry,Ad_hoc",5
"Greedy,Sorting,Geometry",5
"GraphTheory,Bruteforcing,Dijkstra's",5
"Mathematics,NumberTheory,Combinatorics,ExponentiationBySquaring",5
"GraphTheory,String,DataStructures,GraphTraversal,Breadth_firstSearch,SetMapByHashing",5
"DataStructures,Queue",5
"Implementation,DataStructures,Simulation,SetMapByHashing",4
"Greedy,Sorting,BinarySearch",4
"Greedy,Sorting,PrefixSum",4
"GraphTheory,GraphTraversal,Depth_firstSearch,Floyd_warshall",4
"Mathematics,DynamicProgramming,NumberTheory,PrimalityTest,SieveOfEratosthenes",4
Knapsack,4
"GraphTheory,String,DataStructures,GraphTraversal,Depth_firstSearch,SetMapByHashing",4
"Mathematics,String,Combinatorics",4
"Implementation,String,DataStructures,SetMapByHashing,SetMapByTrees",4
"GraphTheory,DataStructures,GraphTraversal,Breadth_firstSearch,SetMapByHashing",4
"Implementation,Bruteforcing,Greedy",4
"DynamicProgramming,BinarySearch,PrefixSum",4
"DynamicProgramming,Sorting,Knapsack",4
"DynamicProgramming,Geometry",4
"GraphTheory,Bruteforcing",4
"Implementation,GraphTheory",4
"Mathematics,Greedy,NumberTheory,EuclideanAlgorithm",4
"GraphTheory,Greedy,GraphTraversal,Breadth_firstSearch",4
"Mathematics,String,NumberTheory",4
"Implementation,String,Constructive",4
"Implementation,Mathematics,Bitmask",4
"DataStructures,Sorting,SegmentTree",4
"Implementation,String,Ad_hoc",4
"DataStructures,Sorting,SetMapByHashing,SetMapByTrees",4
"GraphTheory,Greedy",4
"Implementation,Greedy,Sorting",4
"Mathematics,GraphTheory,GraphTraversal,Breadth_firstSearch",4
"Sorting,ValueCoordinateCompression",4
"Implementation,DataStructures,PriorityQueue",4
"Implementation,Bruteforcing,PrefixSum",4
DivideAndConquer,4
"Mathematics,Arithmetic,Combinatorics",4
"Sorting,PrefixSum",4
"Mathematics,BinarySearch,ParametricSearch",4
"Mathematics,Arithmetic,Geometry",4
"Implementation,DataStructures,Simulation",4
"Mathematics,Greedy,NumberTheory",4
"Mathematics,DataStructures,Stack",4
"Implementation,DynamicProgramming,String",4
"DataStructures,Greedy,SetMapByTrees",4
"DataStructures,Sorting,DisjointSet",4
"Implementation,DataStructures,Sorting,SetMapByHashing",4
"Implementation,DataStructures,Simulation,Deque",4
"DataStructures,SetMapByTrees,PriorityQueue",4
"DataStructures,BinarySearch,SetMapByHashing",4
"DataStructures,Sorting,PriorityQueue",4
"String,Bruteforcing,Greedy",4
"Implementation,DataStructures,Deque",4
"DataStructures,PrefixSum,SetMapByTrees",4
"Implementation,Bruteforcing,Bitmask",4
"Mathematics,Bruteforcing,Geometry",4
"GraphTheory,GraphTraversal,Dijkstra's,0_1Bfs",4
"String,SlidingWindow",4
"DynamicProgramming,SlidingWindow",4
"Mathematics,Geometry,BinarySearch,ParametricSearch",3
"String,Greedy,Sorting",3
"Implementation,DataStructures,Sorting,SetMapByHashing,SetMapByTrees",3
"Tree,Recursion",3
"DataStructures,Sorting,Stack",3
"Greedy,Geometry",3
"Greedy,Sorting,Constructive",3
"Greedy,Two_pointer",3
"Mathematics,Geometry,ProbabilityTheory",3
"DynamicProgramming,Greedy,Knapsack",3
"GraphTheory,DataStructures,GraphTraversal,Breadth_firstSearch,BinarySearch,DisjointSet",3
"Mathematics,Bruteforcing,Bitmask",3
"Implementation,String,Tree",3
"String,DataStructures,Tree",3
"Mathematics,String,Bruteforcing",3
"Implementation,Mathematics,BinarySearch",3
"Mathematics,Sorting,Arithmetic",3
"String,DataStructures,Stack,Recursion",3
"Mathematics,String,Bruteforcing,Combinatorics",3
"Ad_hoc,Bitmask",3
"Mathematics,NumberTheory,PrimalityTest,SieveOfEratosthenes,ExponentiationBySquaring",3
"Implementation,Bruteforcing,Simulation,Backtracking",3
"DataStructures,BinarySearch,Two_pointer",3
"Mathematics,Greedy,Sorting,Combinatorics",3
"DataStructures,Greedy,SetMapByTrees,PriorityQueue",3
"GraphTheory,DynamicProgramming,GraphTraversal,Tree,DynamicProgrammingOnTrees",3
"Implementation,GraphTheory,DataStructures,GraphTraversal,Tree,SetMapByHashing",3
"GraphTheory,GraphTraversal,Sorting,Breadth_firstSearch,Depth_firstSearch",3
"GraphTheory,DataStructures,DisjointSet",3
"Mathematics,Combinatorics,Ad_hoc",3
"Implementation,GraphTheory,TopologicalSorting",3
"Implementation,Simulation,Backtracking",3
"GraphTheory,GraphTraversal,Geometry,Depth_firstSearch",3
"Implementation,Mathematics,NumberTheory,Simulation",3
"GraphTheory,DynamicProgramming,Floyd_warshall",3
"GraphTheory,Constructive,Floyd_warshall",3
"DataStructures,PrefixSum,SegmentTree",3
"GraphTheory,GraphTraversal,Breadth_firstSearch,Dijkstra's,0_1Bfs",3
"Mathematics,String,Bruteforcing,Arithmetic",3
"GraphTheory,Greedy,GraphTraversal,Depth_firstSearch",3
"Implementation,DivideAndConquer",3
"Implementation,Bruteforcing,Geometry",3
"String,Recursion",3
"Mathematics,Bruteforcing,BinarySearch",3
"Implementation,Recursion,DivideAndConquer",3
"DataStructures,Geometry,DisjointSet",3
"DynamicProgramming,Bruteforcing,Backtracking",3
"Implementation,DataStructures,Simulation,SetMapByTrees",3
"Implementation,Simulation,Geometry",3
"Mathematics,Combinatorics,Tree",3
"Implementation,GraphTheory,GraphTraversal,Depth_firstSearch",3
"Mathematics,String,Greedy",3
SlidingWindow,3
"Implementation,String,Bitmask",3
"Implementation,Mathematics,Bruteforcing,Simulation",3
"GraphTheory,Dijkstra's,Bitmask",3
"String,Bruteforcing,DataStructures,SetMapByHashing",3
"Bruteforcing,Greedy,Bitmask",3
"Implementation,String,Bruteforcing,Sorting",3
"Two_pointer,SlidingWindow",3
"Mathematics,String,Bruteforcing,Backtracking",3
"Mathematics,NumberTheory,PrefixSum,PrimalityTest,SieveOfEratosthenes",3
"Mathematics,DivideAndConquer",3
"Implementation,Mathematics,String,Bruteforcing",3
"Mathematics,DynamicProgramming,Combinatorics,ProbabilityTheory",3
"Mathematics,Backtracking",3
"Constructive,Bitmask",3
"DataStructures,Tree,SetMapByTrees",3
"GraphTheory,DataStructures,PriorityQueue,TopologicalSorting",3
"DynamicProgramming,Tree",3
"DynamicProgramming,Bruteforcing,Knapsack",3
"Implementation,Bruteforcing,Recursion",3
"Mathematics,ExponentiationBySquaring,DivideAndConquer",3
"GraphTheory,DataStructures,GraphTraversal,Breadth_firstSearch",3
"Implementation,String,Two_pointer",3
"Greedy,Tree",3
"DynamicProgramming,Bitmask,TravellingSalesmanProblem",3
"Geometry,Constructive",3
"DynamicProgramming,Greedy,Sorting,Knapsack",2
"Mathematics,GraphTheory",2
"Implementation,Bruteforcing,DataStructures,Simulation,Stack",2
"GraphTheory,Greedy,TopologicalSorting",2
"Ad_hoc,DivideAndConquer",2
"Bruteforcing,Sorting,Two_pointer",2
"String,DataStructures,Greedy,Stack",2
"GraphTheory,GraphTraversal,Breadth_firstSearch,PrefixSum",2
"Implementation,String,DataStructures,Simulation,Stack",2
"Bruteforcing,DataStructures,Geometry,SetMapByHashing",2
"Constructive,Backtracking",2
"DataStructures,Ad_hoc,SetMapByTrees",2
"Mathematics,GraphTheory,DynamicProgramming,Combinatorics",2
"String,DataStructures",2
"GraphTheory,GraphTraversal,Breadth_firstSearch,Dijkstra's,ValueCoordinateCompression",2
"Geometry,PrefixSum",2
"BinarySearch,PrefixSum,Two_pointer",2
"Implementation,Mathematics,Bruteforcing,NumberTheory,Constructive",2
"Bruteforcing,DataStructures,DisjointSet",2
"Mathematics,Bruteforcing,Constructive",2
"DataStructures,Greedy",2
"Implementation,Bruteforcing,Simulation,Bitmask",2
"DataStructures,PrefixSum",2
"DynamicProgramming,Backtracking,Bitmask",2
"String,Constructive",2
"DataStructures,Sorting,SegmentTree,DivideAndConquer",2
"Implementation,Simulation,Ad_hoc",2
"Ad_hoc,GameTheory",2
"Implementation,String,DataStructures,Deque",2
"DynamicProgramming,Knapsack,SlidingWindow",2
"Mathematics,Bruteforcing,NumberTheory,PrimalityTest",2
"GraphTheory,Bruteforcing,GraphTraversal,Tree",2
"Mathematics,GraphTheory,Combinatorics",2
"GraphTheory,DataStructures,SetMapByHashing,TopologicalSorting",2
"String,Tree",2
"Implementation,GraphTheory,String,GraphTraversal,Breadth_firstSearch",2
"Mathematics,NumberTheory,Geometry,EuclideanAlgorithm",2
"Greedy,Bitmask",2
"Implementation,String,DataStructures,Sorting,SetMapByHashing",2
"Mathematics,NumberTheory,Geometry",2
"DynamicProgramming,DataStructures,SetMapByHashing,SetMapByTrees",2
"Implementation,Greedy,Sorting,Simulation",2
"GraphTheory,Greedy,GraphTraversal,Depth_firstSearch,Tree",2
"Mathematics,Sorting,Combinatorics,ProbabilityTheory",2
"GraphTheory,DataStructures,Tree,DisjointSet,MinimumSpanningTree",2
"String,BinarySearch",2
"Implementation,DataStructures,Sorting,Stack",2
"Greedy,GameTheory",2
"Mathematics,GraphTheory,GraphTraversal,Breadth_firstSearch,Depth_firstSearch,Combinatorics",2
"DynamicProgramming,Geometry,Two_pointer",2
"GraphTheory,GraphTraversal,Depth_firstSearch,Constructive",2
"DataStructures,Greedy,Sorting,SetMapByTrees",2
"Mathematics,DynamicProgramming,NumberTheory,Combinatorics",2
"Bruteforcing,PrefixSum,ValueCoordinateCompression",2
"GraphTheory,DynamicProgramming,GraphTraversal,Depth_firstSearch,Knapsack",2
"GraphTheory,DataStructures,GraphTraversal,BinarySearch,DisjointSet",2
"DataStructures,PrefixSum,SegmentTree,ValueCoordinateCompression",2
"DataStructures,Constructive,Stack",2
"Bruteforcing,Sorting,BinarySearch",2
"Implementation,Sorting,Two_pointer",2
"Mathematics,DynamicProgramming,Bruteforcing,NumberTheory",2
"Mathematics,String,NumberTheory,EuclideanAlgorithm",2
"Mathematics,DynamicProgramming,GameTheory",2
"Mathematics,Bruteforcing,ExponentiationBySquaring",2
"GraphTheory,DataStructures,GraphTraversal,Breadth_firstSearch,SetMapByTrees",2
"Greedy,Constructive,Ad_hoc",2
"Implementation,Simulation,Recursion",2
"Bruteforcing,Bitmask,Recursion",2
"DynamicProgramming,DataStructures,SetMapByHashing",2
"Implementation,DataStructures,Greedy,Simulation,Stack",2
"Mathematics,GraphTheory,GraphTraversal,Depth_firstSearch,Combinatorics,Tree",2
"Mathematics,Arithmetic,Ad_hoc",2
"GraphTheory,Constructive,Ad_hoc",2
"DataStructures,Greedy,DisjointSet",2
"Constructive,Recursion",2
"DynamicProgramming,Ad_hoc",2
"String,Recursion,DivideAndConquer",2
"GraphTheory,GraphTraversal,Breadth_firstSearch,TopologicalSorting",2
"String,Two_pointer",2
"GraphTheory,DataStructures,Dijkstra's,PriorityQueue",2
"GraphTheory,DataStructures,GraphTraversal,Constructive,Tree,DisjointSet",2
"DataStructures,Greedy,Sorting",2
"Implementation,GraphTheory,Bruteforcing,Simulation",2
